year,month,day,conferences
2024,11,26,"['International Conference On Electrical and Electronics Engineering (ICEEE)', 'International Conference on Economics Finance and Accounting (ICEFA)', 'International Conference on Environmental, Food, Agriculture and Bio-Technology (ICEFABT)', 'International Conference on Smart Technology, Electrical and Electronics Engineering (ICSTEEE)', 'International Conference on Computer Science, Machine Learning and Artificial Intelligence (ICCSMLAI)', 'International Conference on Internet of Things, Big Data Analytics and Information Technology (ICITBDIT)', 'International Conference on Behaviour Physiology and Genetics of Wildlife (ICBPGW)', 'International Conference on Recent advancement in Medical Education, Nursing, and Health Sciences (ICRAMNH)', 'International Conference on Business Management and Social Science (ICBMSS)', 'International Conference on Science, Technology, Engineering and Management (ICSTEM)', 'International Conference on Civil and Environmental Engineering (ICCEE)', 'International Conference On Mechanical and Aerospace Engineering (ICMAE)', 'World Congress on Ophthalmology & Optometry (WCOO)', 'International Conference on Multidisciplinary Research & Practice (ICMRP)', 'International Conference on Advances in Veterinary Microbiology and Clinical Pathology (ICAVMCP)', 'International Conference On Pharma and Food (ICPAF)', 'International Conference on Sports Nutrition and Supplements (ICSNS)', 'International Conference on Human Rights (ICHR)', 'International Conference on Chemical and Biochemical Engineering (ICCBE)', 'International Conference on Civil, Mechanical, Production and Industrial Engineering (ICMPIE)']"
2024,11,27,"['International Conference on Control system, power and electrical engineering (ICCSPEE)', 'International conference on Machine learning Big data management Cloud and Computing (ICMBDC)', 'International Conference on Big Data and Smart Computing (ICBDSC)', 'International Video Conference on Science Technology And Management (IVCSTM)', 'International Video Conference on Healthcare (IVCH)', 'International Conference on Medical, Pharmaceutical and Health Sciences (ICMPH)', 'International Conference on Nano science and Nanotechnology (IC2N)', 'International Conference on Big Data, Smart Computing and Computer Science (ICBDSCC)', 'International Virtual Conference on Internet of Things (IVCIT)', 'International Research Conference on Arts, Commerce, and Business Management (IRCACBM)', 'International conference on Applied Science Mathematics and Statistics (ICASMS)', 'International Virtual Conference on Advanced Scientific Results (IVCASR)', 'International Conference on Astronomy, Astrophysics, Space Science (ICAASS)', 'International Conference on Medical, Healthcare, and Pharmaceutical Science (ICMHPS)', 'International Conference on Mathematical, Physics, and Dynamics (ICMPD)', 'International Conference on Smart Technology, Artificial Intelligence and Computer Engineering (ICSTAICE)', 'International Conference on Education, Learning and Humanities (ICELH)', 'International Conference on Business Management and Economics (ICBME)', 'International Conference on Robotics, Aeronautics, Mechanics and Mechatronics (ICRAMM)', 'International Conference on Oil, Gas and Petrochemistry (ICOGP)', 'International Conference on Chemical, Agricultural, Biological and Environmental Sciences (ICCABES)', 'International Conference on Wireless Sensor Networks, Ubiquitous Computing and Applications (ICWUA)', 'International Virtual Conference on Environmental Science & Green Energy (IVCESGE)', 'International Conference on Social Science, Language, Literature and Education (ICSSLLE)', 'International Conference on Medical and Health Sciences (ICMHS)', 'International Conference on Environmental Science & Green Energy (ICESGE)', 'International Conference on Recent Advances in Science, Technology & Engineering (ICRASTE)', 'International Virtual Conference on Medical Biological and Pharmaceutical Science (IVCMBPS)', 'International Conference on Artificial Intelligence, Robots and Mechanical Engineering (ICAIRME)', 'International Conference on Nutrition & Health (ICNH)', 'International Conference on Oncolytic Virus Therapeutics (ICOVT)', 'International Conference on Physical Education and Sport Science (ICPESS)', 'International Conference on Education, Business, Humanities and Social Sciences (ICEBHS)', 'International Conference on Advances in Science and Technology (ICAST)', 'International Conference on Science, Engineering & Technology (ICSET)', 'International Conference on Chemical, Agricultural, Biological, Environment and Life Science (ICCABEL)', 'International Virtual Conference on Covid-19 and Its Effect (IVCCE)', 'International Conference on Software Engineering and Computer Science (ICSECS)', 'International Video Conference on Clinical and Pharmaceutical Microbiology (IVCCPM)', 'International Conference on Environment, Agriculture and Biotechnology (ICEABT)', 'International Virtual Conference on Multidisciplinary Research (IVCMR)', 'International Conference on Recent Developments in Social Science and Business Management (ICRDSSBM)', 'International Conference on Leadership & Business Management (ICSSLBM)', 'International Video Conference on Creative Business for Smart and Sustainable Growth (IVCCBSSG)']"
2024,11,28,"['World Congress on Industrial Biotechnology (WCIB)', 'International Conference on Soil, Plant and Water Science (ICSPWS)', 'International Conference on Chemical, Biological and Environmental Engineering (ICCBEE)', 'International Conference on Cell and Tissue Science (ICCTS)', 'International Conference on Signal Processing and Computer Vision (ICSPCV)', 'International Conference on Sustainable Water Management (ICSWM)', 'International Conference on Nano science and Nanotechnology (IC2N)']"
2024,11,29,"['International Conference on Neonatology', 'International Conference on Innovators Summit', 'International Conference on Orthopedics', 'International Conference on Dental Science']"
2024,12,01,"['International Conference on Science Technology and Management (ICSTM)', 'International Conference on Mechanical and Aerospace Engineering (ICMAE)', 'International Conference on Economics and Business Management (ICEBM)', 'International Conference on Civil and Architectural Engineering (ICCAE)', 'International Conference on Environment and Natural Science (ICENS)', 'International Conference on Recent Advances in Engineering and Technology (ICRAET)', 'International Conference on Social Science and Humanities (ICSSH)', 'International Conference on Control, Automation, Robotics and Vision Engineering (ICCARVE)', 'International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS)']"
2024,12,02,"['International Conference on Recent Advances in Science, Engineering and Technology (ICRASET)', 'International Conference on Medical Ethics and Professionalism (ICMEP)', 'International Conference on Control system, power and electrical engineering (ICCSPEE)', 'International Conference on Big Data and Smart Computing (ICBDSC)', 'International Conference on Social Science, Arts, Business and Education (ICSABE)', 'International Conference on Big Data, Smart Computing and Computer Science (ICBDSCC)', 'International Research Conference on Arts, Commerce, and Business Management (IRCACBM)', 'International Conference on Healthcare and Clinical Gerontology (ICHCG)', 'International Conference on Astronomy, Astrophysics, Space Science (ICAASS)', 'International Conference on Mathematical, Physics, and Dynamics (ICMPD)', 'International Conference on Global Business, Economics, Finance & Social Sciences (ICGEFS)', 'International Conference on Environment and Life Science (ICELS)', 'International Conference on Finance, Bank & Economics (ICFBE)', 'International Conference on Wireless Sensor Networks, Ubiquitous Computing and Applications (ICWUA)', 'International Conference on Social Science, Language, Literature and Education (ICSSLLE)', 'International Conference on Medical and Health Sciences (ICMHS)', 'International Conference on Mathematics, Statistics and Applied Science (ICMSA)', 'International Conference on Recent Advances in Science, Technology & Engineering (ICRASTE)', 'International Conference on Artificial Intelligence, Robots and Mechanical Engineering (ICAIRME)', '2nd International Conference on Surgery and Anesthesia', 'International Conference on Polymer Chemistry (ICPC)', 'International Conference on Nursing Ethics and Medical Ethics (ICNEME)', 'International Conference on English Learning and Teaching (ICELT)', 'International Conference on Geological and Environmental Sustainability (ICGES)', 'International Conference on Software Engineering and Computer Science (ICSECS)', 'International Conference on Environment, Agriculture and Biotechnology (ICEABT)', 'International Conference on Recent Developments in Social Science and Business Management (ICRDSSBM)', 'International Conference on Leadership & Business Management (ICSSLBM)']"
2024,12,03,"['International Conference on Research in Science, Engineering and Technology (ICRSET)', 'International Conference on Economics, Finance and Business Management (ICEFBM)', 'International Conference on Sport Science and Physical Education (ICSSPE)', 'International Conference on Mechanical & Production Engineering (ICMPE)', 'International Conference On Electrical and Electronics Engineering (ICEEE)', 'International Conference on Recent Advances in Computer Science and Information Technology (ICRACSIT)', 'USA Agenda Spring 2025 Edition', 'National Conference on Recent Advances in Science, Engineering, Technology and Management (NCRASETM)', 'International Conference on Forestry Food and Sustainable Agriculture (ICFFSA)', 'International Conference on Aerospace and Aerodynamics (ICAA)', 'International Conference on Social Science, Arts and Humanities (ICSAH)', 'International Conference on Business Management and Social Innovation (ICBMSI)', 'World Conference on Science Engineering and Technology (WCSET)', 'International Conference on Recent Advances in Medical, Medicine and Health Sciences (ICRAMMHS)', 'World Conference on Pharma Industry and Medical Devices (WCPIMD)']"
2024,12,04,"['International Conference on Recent Advances in Science, Engineering and Technology (ICRASET)', 'International Conference on Electrical, Electronics & Computer Science (ICEECS)', 'International Conference on Networking, Communication and Computing Technology (ICNCCT)', 'International Conference on Advances in Business Management and Information Science (ICABMIS)', 'International Conference on Mechanical, Industrial and Production Engineering (ICMIPE)']"
2024,12,05,"['2nd Annual Congress on Wind Energy', '9th International Conference on Cardiology', '11th International Conference on Healthcare and Medicine', '3rd International Conference on Emergency Medicine and Critical Care', '3rd International Conference on Pharmaceutical and Pharma Industry', '3rd International Conference on Stem Cells Research and Therapy', '6th International Conference on Nephrology', '3rd Annual Congress on Food Science and Food Chemistry', '3rd World Congress on Stroke and Neurological Disorders', '2nd International Conference on Spine Surgery and Spinal Disorders']"
2024,12,06,"['International Conference on Education, Psychology, Humanities and Historical Research (ICEPHHR)', 'International Conference on Public Health, Malnutrition and Impact on Cognitive Development (ICPHMICD)']"
2024,12,10,"['Move. Manage. Master. Launch edition: 10 – 12 December 2024, Dubai World Trade Centre']"
2024,12,11,['International Conference on Educational Leadership (ICEL)']
2024,12,12,"['World Conference and Expo on Anesthesiology and Critical Care (WCEACC)', 'International Conference on Chronic Diseases and Obesity (ICCDO)', 'International Conference on Food, Nutrition, Health & Lifestyle (ICFNHL)', 'International Nursing Ethics and Medical Ethics Conference (INEMEC)', 'International Conference on Population and Development (ICPD)', 'International Conference on Advanced Research in Health Science and Medicine (ICARHSM)', 'International Conference on Pharmaceutical Science and Drug Manufacturing (ICPSDM)', 'International Cancer Conference (ICC)', 'Annual Meeting on Dentistry Endodontics and Hypnodontics (AMDEH)', 'International Conference on Research in Life-sciences & Healthcare (ICRLH)', 'Summer Global Neuroscience & Neurology Symposium (SGNNS)', 'International Conference on Healthcare Innovation and Medical Sciences (ICHIMS)', 'Global Climate Change Conference (GCCC)', 'Asian Symposium on Advancement in Hematology and Oncology (ASAHO)', 'International World Research Congress on Dentistry and Oral Health (IWRCDOH)', 'International Conference on Nursing Science and Healthcare (ICNSH)', 'International Conference on Diabetes and Endocrinology (ICDE)', 'International Conference on Recent Trends in Herbal & Traditional Medicine Summit (ICRHTM)', 'Global Cardiology and Healthcare Summit (GCHS)', 'International Conference on Nursing Science and Practice (ICNSP)', 'Applied Research International Conference on Pediatrics & Neonatology (ARICPN)']"
2024,12,13,"['International conference on Machine learning Big data management Cloud and Computing (ICMBDC)', 'International Conference On Electrical and Electronics Engineering (ICEEE)', 'International Conference on Multidisciplinary Research (ICMR)', 'International Conference on Advances in Mathematics, Physics and Applied Science (ICAMPA)', 'International Conference on Medical, Pharmaceutical and Health Sciences (ICMPH)', 'International Conference on Nano science and Nanotechnology (IC2N)', 'International Conference on Robotics, Communication Technology, Electronics, and Electrical Engineering (ICRRCTEEE)', 'International Conference on Advanced Research in Management, Business and Finance (ICAMBF)', 'International Conference on Research in Science, Engineering and Technology (ICRSET)', 'International conference on Applied Science Mathematics and Statistics (ICASMS)', 'International Conference on Advances in Health and Medical Science (ICAHMS)', 'International Conference on Recent Advances in Computer Science and Information Technology (ICRACSIT)', 'International Conference on Big Data, IoT, Cyber Security and Information Technology (ICBDICSIT)', 'International Conference on Business Management and Social Innovation (ICBMSI)', 'International Conference on Smart Technology, Artificial Intelligence and Computer Engineering (ICSTAICE)', 'National Conference on Recent Advances in Science, Engineering, Technology and Management (NCRASETM)', 'International Conference on Recent Advances in Medical, Medicine and Health Sciences (ICRAMMHS)', 'International Conference on Robotics, Aeronautics, Mechanics and Mechatronics (ICRAMM)', 'International Conference on Oil, Gas and Petrochemistry (ICOGP)', 'International Conference on Humanities, Social Science and Business Management (ICHSSBM)', 'International Conference on Chemical, Agricultural, Biological and Environmental Sciences (ICCABES)', 'International Conference on Wireless Sensor Networks, Ubiquitous Computing and Applications (ICWUA)', 'International Conference on Advances in Mechanical, Civil, and Construction Engineering (ICAMCCE)', 'International Conference on Industrial, Production & Systems Engineering (ICIPSE)', 'International Conference on Forestry Food and Sustainable Agriculture (ICFFSA)', 'International Conference on Physical Education and Sport Science (ICPESS)', 'International Conference on Education, Business, Humanities and Social Sciences (ICEBHS)', 'International Conference on Mechanical & Production Engineering (ICMPE)', 'International Conference on Science, Engineering & Technology (ICSET)', 'International Conference on Chemical, Agricultural, Biological, Environment and Life Science (ICCABEL)', 'World Conference on Applied Science Engineering and Technology (WCASET)']"
2024,12,14,"['International Conference On Mechanical and Aerospace Engineering (ICMAE)', 'International Conference on Civil and Environmental Engineering (ICCEE)', 'International Conference On Electrical and Electronics Engineering (ICEEE)', 'International Conference on Economics Finance and Accounting (ICEFA)', 'International Conference on Multidisciplinary Research & Practice (ICMRP)', 'International Conference on Behaviour Physiology and Genetics of Wildlife (ICBPGW)', 'International Conference On Pharma and Food (ICPAF)', 'International Conference on Sports Nutrition and Supplements (ICSNS)', 'Green Earth Summit (GES)', 'International Conference on Chemical and Biochemical Engineering (ICCBE)', 'International Conference on Human Rights (ICHR)', 'International Conference on Science, Technology, Engineering and Management (ICSTEM)']"
2024,12,15,"['International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS)']"
2024,12,17,"['International Conference on Trends and Innovations in Management, Engineering, Sciences and Humanities (ICTIMESH-24), December 17-20, 2024, Dubai']"
2024,12,18,['GULFPCR-GIM 2024']
2024,12,20,"['INTERNATIONAL CONFERENCE ON INTERDISCIPLINARY STUDIES IN EDUCATION RESEARCH & TECHNOLOGY 2024 (ISERT – 2024)', 'INTERNATIONAL CONFERENCE ON INTERDISCIPLINARY STUDIES IN EDUCATION RESEARCH & TECHNOLOGY 2024']"
2024,12,22,['International Conference on Advances in Veterinary Microbiology and Clinical Pathology (ICAVMCP)']
2024,12,25,"['International Conference on Control system, power and electrical engineering (ICCSPEE)', 'International Conference on Big Data and Smart Computing (ICBDSC)', 'International Video Conference on Science Technology And Management (IVCSTM)', 'International Conference on Multidisciplinary Research (ICMR)', 'International Video Conference on Healthcare (IVCH)', 'International Conference on Big Data, Smart Computing and Computer Science (ICBDSCC)', 'International Virtual Conference on Internet of Things (IVCIT)', 'International Video Conference on Creative Business for Smart and Sustainable Growth (IVCCBSSG)', 'International Conference on Advanced Research in Management, Business and Finance (ICAMBF)', 'International Research Conference on Arts, Commerce, and Business Management (IRCACBM)', 'International Conference on Advances in Health and Medical Science (ICAHMS)', 'International Virtual Conference on Advanced Scientific Results (IVCASR)', 'International Conference on Astronomy, Astrophysics, Space Science (ICAASS)', 'International Conference on Medical, Healthcare, and Pharmaceutical Science (ICMHPS)', 'International Conference on Mathematical, Physics, and Dynamics (ICMPD)', 'International Conference on Smart Technology, Artificial Intelligence and Computer Engineering (ICSTAICE)', 'International Conference on Education, Learning and Humanities (ICELH)', 'International Conference on Business Management and Economics (ICBME)', 'International Virtual Conference on Environmental Science & Green Energy (IVCESGE)', 'International Conference on Social Science, Language, Literature and Education (ICSSLLE)', 'International Conference on Environmental Science & Green Energy (ICESGE)', 'International Conference on Recent Advances in Science, Technology & Engineering (ICRASTE)', 'International Virtual Conference on Medical Biological and Pharmaceutical Science (IVCMBPS)', 'International Conference on Artificial Intelligence, Robots and Mechanical Engineering (ICAIRME)', 'International Conference on Nutrition & Health (ICNH)', 'International Conference on Oncolytic Virus Therapeutics (ICOVT)', 'International Conference on Leadership & Business Management (ICSSLBM)', 'International Conference on Advances in Science and Technology (ICAST)', 'International Virtual Conference on Covid-19 and Its Effect (IVCCE)', 'International Conference on Software Engineering and Computer Science (ICSECS)', 'International Video Conference on Clinical and Pharmaceutical Microbiology (IVCCPM)', 'International Conference on Environment, Agriculture and Biotechnology (ICEABT)', 'International Virtual Conference on Multidisciplinary Research (IVCMR)', 'International Conference on Recent Developments in Social Science and Business Management (ICRDSSBM)', 'International Conference on Medical and Health Sciences (ICMHS)', 'World Conference on Applied Science Engineering and Technology (WCASET)']"
2024,12,26,"['International Conference on Management and Information Technology (ICMIT)', 'International Conference on Nanoscience, Nanotechnology and Advanced Materials (IC2NM)', 'International Conference on Artificial Intelligence and Soft Computing (ICAISC)', 'International Conference on Recent Advances in Medical and Health Sciences (ICRAMHS)', 'International Conference on Environmental Science and Development (ICESD)', 'International Academic Conference on Development in Science and Technology (IACDST)', 'International Academic Conference on Engineering, Technology and Innovations (IACETI)', 'International Conference on Environmental, Food, Agriculture and Bio-Technology (ICEFABT)', 'International Conference on Smart Technology, Electrical and Electronics Engineering (ICSTEEE)', 'International Conference on Recent advancement in Medical Education, Nursing, and Health Sciences (ICRAMNH)', 'International Conference on Civil, Mechanical, Production and Industrial Engineering (ICMPIE)', 'International Conference on Computer Science, Machine Learning and Artificial Intelligence (ICCSMLAI)', 'International Conference on Business Management and Social Science (ICBMSS)', 'International Conference on Science, Social Science and Economics (IC3SE)', 'International Conference on Language, Literature and Culture (ICLLC)', 'International Conference on Internet of Things, Big Data Analytics and Information Technology (ICITBDIT)', 'International Conference on Mining, Material, and Metallurgical Engineering (ICMMME)']"
2024,12,27,"['International Conference on Control system, power and electrical engineering (ICCSPEE)', 'International conference on Machine learning Big data management Cloud and Computing (ICMBDC)', 'International Conference on Big Data and Smart Computing (ICBDSC)', 'International Conference on Robotics, AI and Computer Engineering (ICRACE)', 'International Conference on Advances in Business Management and Leadership (ICABML)', 'International Conference on Medical, Pharmaceutical and Health Sciences (ICMPH)', 'International Conference on Nano science and Nanotechnology (IC2N)', 'International Conference on Big Data, Smart Computing and Computer Science (ICBDSCC)', 'International Research Conference on Arts, Commerce, and Business Management (IRCACBM)', 'International conference on Applied Science Mathematics and Statistics (ICASMS)', 'International Conference on Astronomy, Astrophysics, Space Science (ICAASS)', 'International Conference on Mathematical, Physics, and Dynamics (ICMPD)', 'International Conference on Robotics, Aeronautics, Mechanics and Mechatronics (ICRAMM)', 'International Conference on Oil, Gas and Petrochemistry (ICOGP)', 'International Conference on Chemical, Agricultural, Biological and Environmental Sciences (ICCABES)', 'International Conference on Wireless Sensor Networks, Ubiquitous Computing and Applications (ICWUA)', 'International Conference on Recent Innovations in Engineering and Technology (ICRIET)', 'International Conference on Social Science, Language, Literature and Education (ICSSLLE)', 'International Conference on Medical and Health Sciences (ICMHS)', 'International Conference on Recent Advances in Science, Technology & Engineering (ICRASTE)', 'International Conference on Artificial Intelligence, Robots and Mechanical Engineering (ICAIRME)', 'International Conference on Agricultural and Biological Science (ICABS)', 'International Conference on Physical Education and Sport Science (ICPESS)', 'International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS)', 'International Conference on Education, Business, Humanities and Social Sciences (ICEBHS)', 'International Conference on Education Learning, Social Science and Humanities. (ICELSSH)', 'International Conference on Science, Engineering & Technology (ICSET)', 'International Conference on Chemical, Agricultural, Biological, Environment and Life Science (ICCABEL)', 'International Conference on Software Engineering and Computer Science (ICSECS)', 'International Conference on Environment, Agriculture and Biotechnology (ICEABT)', 'International Conference on Recent Developments in Social Science and Business Management (ICRDSSBM)', 'International Conference on Leadership & Business Management (ICSSLBM)']"
2024,12,28,"['World Congress on Industrial Biotechnology (WCIB)', 'International Conference on Soil, Plant and Water Science (ICSPWS)', 'International Conference on Chemical, Biological and Environmental Engineering (ICCBEE)', 'International Conference on Cell and Tissue Science (ICCTS)', 'International Conference on Sustainable Water Management (ICSWM)', 'International Conference on Nano science and Nanotechnology (IC2N)']"
2024,12,29,"['International Conference on Environmental Sustainability and Climate Change (ICESCC)', 'International Conference on Robotics, Smart Technology, Communication and Electronics Engineering (ICRMTCEE)', 'International Conference On Electrical and Electronics Engineering (ICEEE)', 'International Video Conference on Science Technology And Management (IVCSTM)', 'International Conference on Mechanical, Manufacturing, Industrial and Civil Engineering (ICMMICE)', 'International Video Conference on Healthcare (IVCH)', 'International Virtual Conference on Internet of Things (IVCIT)', 'International Conference on Research in Science, Engineering and Technology (ICRSET)', 'International Virtual Conference on Advanced Scientific Results (IVCASR)', 'International Conference on Recent Advances in Computer Science and Information Technology (ICRACSIT)', 'International Conference on Medical, Healthcare, and Pharmaceutical Science (ICMHPS)', 'International Conference on Business Management and Social Innovation (ICBMSI)', 'International Conference on Smart Technology, Artificial Intelligence and Computer Engineering (ICSTAICE)', 'International Conference on Artificial Intelligence, Machine Learning and Big Data Engineering (ICAIMLBDE)', 'International Conference on Education, Learning and Humanities (ICELH)', 'National Conference on Recent Advances in Science, Engineering, Technology and Management (NCRASETM)', 'International Conference on Business Management and Economics (ICBME)', 'International Conference on Recent Advances in Medical, Medicine and Health Sciences (ICRAMMHS)', 'International Conference on Recent Developments in Electrical and Power Engineering (ICRDEPE)', 'International Conference on English Literature and Linguistics (ICELL)', 'International Virtual Conference on Environmental Science & Green Energy (IVCESGE)', 'International Conference on Environmental Science & Green Energy (ICESGE)', 'International Conference on Biological, Agricultural & Environmental Science (ICBAES)', 'International Virtual Conference on Medical Biological and Pharmaceutical Science (IVCMBPS)', 'International Conference on Nutrition & Health (ICNH)', 'International Conference on Oncolytic Virus Therapeutics (ICOVT)', 'International Conference on Forestry Food and Sustainable Agriculture (ICFFSA)', 'International Conference on Advances in Science and Technology (ICAST)', 'International Conference on Mechanical & Production Engineering (ICMPE)', 'International Virtual Conference on Covid-19 and Its Effect (IVCCE)', 'International Video Conference on Clinical and Pharmaceutical Microbiology (IVCCPM)', 'International Conference on Advanced Research in Education (ICARE)', 'International Virtual Conference on Multidisciplinary Research (IVCMR)', 'International Conference on Innovative Research Practices in Economics, Business and Social Sciences (ICIRPEBS)', 'International Summit on Environment Protection and Climate Change (ISEPCC)', 'International Video Conference on Creative Business for Smart and Sustainable Growth (IVCCBSSG)']"
2024,12,31,"['International Conference on Education, Psychology, Humanities and Historical Research (ICEPHHR)', 'International Conference on Big Data Computer Science and Information (ICBDCSI)']"
