year,event,start_date,end_date,arrival_percentage_change,departure_percentage_change
2019,eid_al_adha,2019-08-10,2019-08-15,-2.7187392048325,15.90382738472928
2020,eid_al_adha,2020-07-30,2020-08-03,-5.9837482930193,16.29387483289283
2021,eid_al_adha,2021-07-19,2021-07-23,-4.1982748392847,14.3828473928402
2022,eid_al_adha,2022-07-09,2022-07-13,-3.284720283748,7.49847287349829
2023,eid_al_adha,2023-06-28,2023-07-02,-0.5938472847382,9.1028346728392
2020,expo_2020,2020-10-01,2021-03-31,30.57392738492047,19.8372738493928
2021,expo_2020,2021-04-01,2021-10-01,25.9837289372047,23.28374829748392
2019,air_show,2019-11-17,2019-11-21,4.2928472938474,9.28374823847283
2021,air_show,2021-11-14,2021-11-18,6.29384727384728,8.2837489287483
2016,diwali,2016-10-29,2016-11-02,5.48273648263728,4.17362829347293
2017,diwali,2017-10-18,2017-10-22,6.38492084729302,7.4928742837402
2018,diwali,2018-11-06,2018-11-10,8.38472849387492,9.2984738473849
2019,diwali,2019-10-27,2019-10-31,10.19382749283747,6.3829374872738
2020,diwali,2020-11-13,2020-11-17,-3.48749284723948,1.92374829384729
2022,spring_break,2022-03-14,2022-03-28,5.2847384729374,7.8274837462938
2023,spring_break,2023-03-13,2023-03-27,8.5938472938473,5.39487284930274
2016,summer_season,2016-06-01,2016-09-01,15.3847293848274,12.1938472838472
2017,summer_season,2017-06-01,2017-09-01,16.2938472849382,10.3847292847293
2018,summer_season,2018-06-01,2018-09-01,17.0927482938748,9.2947283749283
2019,summer_season,2019-06-01,2019-09-01,14.7389472834987,11.2947382748392
2022,spring_season,2022-03-20,2022-04-20,8.2948374827937,6.3874298374812
2023,spring_season,2023-03-20,2023-04-20,9.9283748392837,5.3847389273847
2016,comicon_dubai,2016-04-07,2016-04-09,3.92748273849273,6.3847293840293
2017,comicon_dubai,2017-04-06,2017-04-08,4.28374829384827,7.8374828374837
2018,comicon_dubai,2018-04-05,2018-04-07,6.938472847393,8.8274827482397
2019,comicon_dubai,2019-04-11,2019-04-13,7.9283748279382,9.3827482947293
2023,comicon_dubai,2023-03-03,2023-03-05,8.3928742938472,7.3947283947392
2022,international_expo,2022-01-15,2022-02-20,23.0938748293847,16.3948723849374
2016,uae_national_day,2016-12-01,2016-12-03,10.0,6.0
2018,uae_national_day,2018-12-01,2018-12-03,4.2837473928392,6.8374827398473
2019,uae_national_day,2019-12-01,2019-12-03,5.3847293849283,7.2839482739482
2022,uae_national_day,2022-12-01,2022-12-03,6.9283749283742,8.3847293847283
2023,uae_national_day,2023-12-01,2023-12-03,7.3847293847382,9.2938472938472
2018,formula_1_grand_prix,2018-11-22,2018-11-25,9.9274838472839,10.2837482948374
2019,formula_1_grand_prix,2019-11-28,2019-12-01,8.3847283748374,7.2837472839273
2021,formula_1_grand_prix,2021-12-02,2021-12-05,6.9274837489374,5.9384729483748
2022,formula_1_grand_prix,2022-12-01,2022-12-04,9.9283748293848,8.9374823947284
2023,formula_1_grand_prix,2023-11-30,2023-12-03,11.3847382739482,9.2938472938474
2017,international_food_festival,2017-02-23,2017-03-11,7.2834729384728,5.2837482938487
2018,international_food_festival,2018-03-01,2018-03-17,6.2938473847298,5.9283748472384
2019,international_food_festival,2019-02-21,2019-03-09,8.9384728374827,6.2938749823747
2022,international_food_festival,2022-03-03,2022-03-19,5.3948374827394,4.9283749283749
2023,international_food_festival,2023-03-02,2023-03-18,7.2838472384793,5.9384729384728
2017,shopping_festival,2017-01-01,2017-02-01,12.3847384729384,10.2837482938473
2018,shopping_festival,2018-01-01,2018-02-01,15.2837482938749,9.8374827398273
2019,shopping_festival,2019-01-01,2019-02-01,14.9283748392837,8.7384928473948
2022,shopping_festival,2022-01-01,2022-02-01,11.7384728374827,6.2837482839483
2023,shopping_festival,2023-01-01,2023-02-01,13.2847392838473,9.2838479283748
2018,dubai_marathon,2018-01-26,2018-01-26,6.7384729384729,5.3847293847283
2019,dubai_marathon,2019-01-25,2019-01-25,7.2938472938472,6.2837489384729
2020,dubai_marathon,2020-01-24,2020-01-24,4.2837482938473,5.2837489283748
2022,dubai_marathon,2022-01-14,2022-01-14,3.9473829483728,4.2839473948374
2023,dubai_marathon,2023-02-12,2023-02-12,6.2837482738473,7.2837489238472
2017,art_dubai,2017-03-15,2017-03-18,4.2837482938472,5.2837482948473
2018,art_dubai,2018-03-21,2018-03-24,6.2837482838474,7.2938472948474
2019,art_dubai,2019-03-20,2019-03-23,7.8374827398473,6.2837489378472
2022,art_dubai,2022-03-16,2022-03-19,5.2838472948473,4.2837489273947
2023,art_dubai,2023-03-23,2023-03-26,8.2938472838472,6.2837492838474
2017,ramadan_eid_rush,2017-06-14,2017-06-28,9.3847293847293,12.3847392838493
2018,ramadan_eid_rush,2018-06-03,2018-06-17,8.3847294729374,11.2837482374874
2020,ramadan_eid_rush,2020-04-24,2020-05-08,-4.2837489273748,5.2847392837483
2022,ramadan_eid_rush,2022-04-02,2022-04-16,3.2837482384729,7.2837489274823
2023,ramadan_eid_rush,2023-03-23,2023-04-06,1.2837472938473,3.2384729482374
2016,midterm_break,2016-10-15,2016-10-30,5.2947389273847,7.2837492838473
2017,midterm_break,2017-10-14,2017-10-29,4.2837492384729,8.2837482938473
2018,midterm_break,2018-10-13,2018-10-28,3.2837482837482,9.2837492838473
2021,midterm_break,2021-10-16,2021-10-31,2.9384728374738,8.2837482938473
2023,midterm_break,2023-10-14,2023-10-29,6.2837482938473,7.3947382837483
2018,new_years_eve,2018-12-31,2019-01-01,12.9384729374738,10.2838472398374
2019,new_years_eve,2019-12-31,2020-01-01,14.2837492838472,11.2938472838472
2021,new_years_eve,2021-12-31,2022-01-01,10.8374928374838,8.8374928374838
2022,new_years_eve,2022-12-31,2023-01-01,9.2837492837483,8.2837482384729
2023,new_years_eve,2023-12-31,2024-01-01,8.8374929384729,12.2838472938473
2021,hajj_season,2021-07-17,2021-07-23,-11.3847298472938,15.3847392837483
2022,hajj_season,2022-06-25,2022-07-01,-14.2837492837483,13.2837482398472
2023,hajj_season,2023-06-19,2023-06-23,-16.2838473948273,10.2947382948723
2018,national_day_rush,2018-11-30,2018-12-04,8.8374929378473,6.2837489274838
2019,national_day_rush,2019-11-30,2019-12-04,7.2837492837483,5.2837483948374
2021,national_day_rush,2021-11-30,2021-12-04,6.8374928374838,8.2837483948374
2022,national_day_rush,2022-11-30,2022-12-04,9.8374829384739,7.2837489473748
2023,national_day_rush,2023-11-30,2023-12-04,10.2837484938473,6.2838472838473
2018,dubai_shopping_festival,2018-01-01,2018-01-31,20.0,5.0
2020,economic_slowdown,2020-01-01,2020-12-31,-12.0,-10.0
2017,global_financial_tension,2017-04-01,2017-04-30,-5.0,-3.0
2019,oil_price_surge,2019-07-01,2019-07-31,3.0,-2.0
2022,winter_holiday_season,2022-12-20,2023-01-05,18.0,14.0
2024,hajj_season,2024-06-14,2024-07-17,-15.3847298472938,5.347413
